RecordID	RID	Squib	ReferenceReaction
39487	17002	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D880FF56D50AD8E4AA0E4786ABF1CE88?id=2004IAN/AND191-208:11	n-octane-d1 + ·OH → Products
39488	17002	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D880FF56D50AD8E4AA0E4786ABF1CE88?id=2003AND/CZU6191-6199:41	Toluene + ·OH → Products
39491	17003	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7EC14A79976CDBF7EC02889355170BC5?id=2004LI592-600:1	1,4-Dioxane + ·OH → C4H7(·)O2 + H2O
39498	17007	http://kinetics.nist.gov/kinetics/Detail;jsessionid=27BC8BC931533D13B8D1736A8144958F?id=1982GAG/KOR42:4	C3H8 → Products
39501	17008	http://kinetics.nist.gov/kinetics/Detail;jsessionid=69B8C1DDBD6B2DF7E0F50BA46C4CAF69?id=2007HUR/BAL2547-2554:1	CH3Cl + ·Cl → Products
39502	17008	http://kinetics.nist.gov/kinetics/Detail;jsessionid=69B8C1DDBD6B2DF7E0F50BA46C4CAF69?id=2007HUR/BAL2547-2554:2	C2H5Cl + ·Cl → Products
39504	17009	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6BE1142BEE5318C637DC769CE09F971F?id=2007HUR/BAL2547-2554:3	C2H4 + ·OH → Products
39505	17009	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6BE1142BEE5318C637DC769CE09F971F?id=2007HUR/BAL2547-2554:4	C2H2 + ·OH → Products
39509	17012	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ECEBEF195CCC7D0977A7FEC4A70C8BBB?id=1996KIN/MEN369-372:4	n-C4H10 + ·Cl → Other Products + HCl
39517	17016	http://kinetics.nist.gov/kinetics/Detail;jsessionid=04CF92610482508686F89FB76C221740?id=2012DAL/TAC104-110:3	1-C7H16 + ·Cl → Products
39518	17016	http://kinetics.nist.gov/kinetics/Detail;jsessionid=04CF92610482508686F89FB76C221740?id=2012DAL/TAC104-110:4	n-C5H12 + ·Cl → Products
39522	17017	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5B996E43ECF359CDA15006ADF6868CBD?id=2010DAL/TAC1749-1753:3	n-C5H12 + ·OH → Products
39523	17017	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5B996E43ECF359CDA15006ADF6868CBD?id=2010DAL/TAC1749-1753:4	1-C7H16 + ·OH → Products
39527	17019	http://kinetics.nist.gov/kinetics/Detail;jsessionid=479A574649FBD6C682C7FD8B7F1136BA?id=1999HAR/ARE425-431:2	n-C8H18 + ·Cl → Other Products + HCl
39533	17022	http://kinetics.nist.gov/kinetics/Detail;jsessionid=3E618E8F1CA1D7262067415BE5CBB291?id=1998CHE/ATK1083-1089:9	(C2H5)2O + NO3 → Products
39534	17022	http://kinetics.nist.gov/kinetics/Detail;jsessionid=3E618E8F1CA1D7262067415BE5CBB291?id=1998CHE/ATK1083-1089:11	Methacrolein + NO3 → Products
39542	17023	http://kinetics.nist.gov/kinetics/Detail;jsessionid=377F9DF85106B401970F1DD3515F8404?id=1999HAR/ARE425-431:4	CH2=CHCOCH3 + ·OH → Products
39543	17023	http://kinetics.nist.gov/kinetics/Detail;jsessionid=377F9DF85106B401970F1DD3515F8404?id=1990BEN/KER29-38:4	(C2H5)2O + ·OH → Other Products + H2O
39544	17023	http://kinetics.nist.gov/kinetics/Detail;jsessionid=377F9DF85106B401970F1DD3515F8404?id=1989WAL/AND993-1001:2	(C2H5)2O + ·OH → Other Products + H2O
39545	17023	http://kinetics.nist.gov/kinetics/Detail;jsessionid=377F9DF85106B401970F1DD3515F8404?id=1989BEN/KER87-94:4	iso-C4H8 + ·OH → Other Products + H2O
39546	17023	http://kinetics.nist.gov/kinetics/Detail;jsessionid=377F9DF85106B401970F1DD3515F8404?id=1976LLO/DAR205:6	iso-C4H8 + ·OH → Other Products + H2O
39554	17027	http://kinetics.nist.gov/kinetics/Detail;jsessionid=68DC4DE0B8A803594849FA62203B9BD3?id=2006ZHO/BAR7386-7392:26	CH2=C(CH3)CH=CH2 + NO3 → Products
39555	17027	http://kinetics.nist.gov/kinetics/Detail;jsessionid=68DC4DE0B8A803594849FA62203B9BD3?id=2006ZHO/BAR7386-7392:29	CH2=C(CH3)C(CH3)=CH2 + NO3 → Products
39557	17028	http://kinetics.nist.gov/kinetics/Detail;jsessionid=DE328E6F4546D1F087591337282F7ADB?id=2006ZHO/BAR7386-7392:35	Cyclohexene + O3 → Products
39566	17033	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A7D116EB132E54027CD6D8F4F2976D6F?id=1989ROG177-181:5	CH3CH=CH2 + ·OH → Products
39567	17033	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A7D116EB132E54027CD6D8F4F2976D6F?id=1989ROG177-181:7	(E)-2-C4H8 + ·OH → Products
39573	17037	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1186D068AE51207D19914EA9B405074E?id=2001OH/AND422-430:6	1,4-Dimethylbenzene + ·OH → Products
39574	17037	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1186D068AE51207D19914EA9B405074E?id=2001OH/AND422-430:13	Cyclohexane + ·OH → Products
39575	17037	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1186D068AE51207D19914EA9B405074E?id=1998ASC/ATK533-540:15	Cyclohexane + ·OH → Cyclohexyl + H2O
39577	17038	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A7A5F0B4F6B461695A8AE3D8ECB5DA7C?id=1993DON/SHA273-284:28	C2H6 + ·Cl → ·C2H5 + HCl
