RecordID	RID	Squib	ReferenceReaction
74	66	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2486A80ABC0B380501374BA03AE4B4E?id=1991YAR/PEN7330-7337:6	ClCH=CHOO(.) → Products
75	67	http://kinetics.nist.gov/kinetics/Detail;jsessionid=90267CACBC8721864BE41A14309BC176?id=1991YAR/PEN7330-7337:5	ClCH=CHOO(.) → Products
97	86	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:6	Methyl, ethoxy(1-methylethoxy)phenyl- → Benzoic acid 1-methylethyl ester + ·C2H5
99	87	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:4	Methyl, methoxy(1-methylethoxy)phenyl- → Methylbenzoate + iso-C3H7
101	88	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4C824505AE75C3F1AACF5D53D78B09CF?id=1993BAN/SCA2473-2477:2	Methyl, ethoxymethoxyphenyl- → Ethyl benzoate + ·CH3
113	99	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4	O2 + CH3CH(O.)CH2CH2CH3 → Products
124	103	http://kinetics.nist.gov/kinetics/Detail;jsessionid=07DAB655B58250C1C0ADB399F836E982?id=1995ATK/KWO23-37:2	O2 + CH3CH(O.)CH2CH2CH3 → n-C3H7C(O)CH3 + HO2
133	109	http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996WAL/HUR18116-18122:3	O2 + CF3CFHO → CF3COF + HO2
194	140	http://kinetics.nist.gov/kinetics/Detail;jsessionid=25C47A542126A209A417C0204CBCCB7D?id=1997BOY/LES323-331:5	CH3CH(OH)CH(CH3)OO(·) + CH3CH(OH)CH(CH3)OO(·) → CH3CH(OH)CH(OH)CH3 + CH3CH(OH)C(O)CH3 + O2
209	154	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B42F8F347AA85D52918B132A4CE472EC?id=2009MEB/KIS9825-9833:5	5,5'-Bicyclopentadienyl → Products
231	171	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FBF79E75B55B3B93A2A1145FDEA0171E?id=1989ALA/ALB579-581:8	CH3(CH2)4COOH → CH3C(O)OH + iso-C4H8
232	171	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FBF79E75B55B3B93A2A1145FDEA0171E?id=1989ALA/ALB579-581:9	CH3C(S)NHC(CH3)3 → CH3CSNH2 + iso-C4H8
243	173	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:16	Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans- → CH2=CHCH2CH=C(CH3)C(CH3)3
281	201	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F317DA9B1938B74FC272A6E3143105FC?id=1988PER/PHA603:1	1H-Pyrazole, 1-(2-chloroethyl)- → CH2=CHCl + Pyrazole
285	204	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EFBE9D292EC02EF4A0473BE953010020?id=1990CIA/RAG8204-8206:2	Cyclopropane-1,2-d2, 1R-trans- → Products
289	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1992YAR/PEN369-383:7	CH2ClCH2O2 + CH2ClCH2O2 → CH2ClCH2OH + CH2ClCHO + O2
290	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1990WAL/AND189:4	CH2ClCH2O2 + CH2ClCH2O2 → Products
291	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1992WAL/DAG667-710:45	CH2ClCH2O2 + CH2ClCH2O2 → Products
294	206	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BA66D975D1867BC815F265305090386?id=1990WAL/AND189:3	CH2ClCH2O2 + CH2ClCH2O2 → Products
319	222	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0321CA57D13B6EEFA11E3715A0BF8AD6?id=1967DIJ/KER864:4	NF2 + CH2CH(NF2)Br → F2NCH2CHBrNF2
322	223	http://kinetics.nist.gov/kinetics/Detail;jsessionid=15AC0EEE859E976F5A06033D2A0FE493?id=1967DIJ/KER864:3	NF2 + CH2CH(NF2)Cl → F2NCH2CHClNF2
325	224	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1610F6086DF4EF63CCD1B9ED9A23606F?id=1967DIJ/KER105:18	NF2 + Cyclopentyl, 2-(difluoroamino)- → 1,2-Cyclopentanediamino, N,N,N',N'-tetrafluoro-
328	225	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0023B75A0E08CBDA51E831E31CC48F27?id=1967DIJ/KER105:17	NF2 + (CH3)2C(NF2)C(CH3)2 → Butane, 2,3-(difluoroamino)-2,3-dimethyl-
331	226	http://kinetics.nist.gov/kinetics/Detail;jsessionid=998A6C5F927758DEC9F94A9DCA50D5C5?id=1967DIJ/KER105:16	NF2 + CH3CH(NF2)C(CH3)2 → CH3CH(NF2)C(NF2)(CH3)2
336	228	http://kinetics.nist.gov/kinetics/Detail;jsessionid=850AA916E8F9BA441216324EB57F3BED?id=1967DIJ/KER105:15	NF2 + CH3CH(NF2)CHCH3 → CH3CH(NF2)CH(NF2)CH3
339	229	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2632A642F6560B7477BA4376BBDB881E?id=1967DIJ/KER105:14	NF2 + CH3CH(NF2)CHCH3 → CH3CH(NF2)CH(NF2)CH3
342	230	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7A1B4EA1C7EA71DD7CCEFEA91DDFE32E?id=1967DIJ/KER105:13	NF2 + C2H5CHCH2NF2 → CH3CH2CH(NF2)CH2NF2
394	273	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4D0B2F52C04AE5E2F4C1ABABEFE099BD?id=1987HOL/RAK401:4	CF3CH2CHCl + CF3CH2CHCl → Adduct
400	279	http://kinetics.nist.gov/kinetics/Detail;jsessionid=76A518B40E8C66FF157A0DC4C94936D2?id=1987DIC/NAR2596:5	Silacyclopropane, 2,3-dimethyl- → C2H5CH(CH3)SiH
409	282	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2F30536F0D2243D16D1CB002384E97C8?id=1987LES/DOG1:4	NO + CCl3O → Products
441	310	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D8F362379089AFE9DC9AB3F89D0E0DD5?id=1975WEA/SHO109:5	CD3O2· + CD3O2· → Products
475	338	http://kinetics.nist.gov/kinetics/Detail;jsessionid=69BD07CEB115D8F52891F10734E3877C?id=1992HEI/WAR8403-8409:10	(CH3)2CHCH(CH3)CH2OO· + (CH3)2CHCH(CH3)CH2OO· → Products
483	344	http://kinetics.nist.gov/kinetics/Detail;jsessionid=E2E7A1D4BCE6195EBE4BCA5FEBB12CA8?id=1989BAR/BAS499-517:12	O2 + BrCH=CH → Products
496	357	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ADEB23A5895675FDB4A1854B0F9D9F89?id=1966BAL2953-2955:1	Cyclopentene 4-d → Other Products + 1,3,Cyclopentadiene-1-d
511	371	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CAB73C4EDCD96BFA3D59671F06521F0A?id=1988PER/PHA217:1	1H-Pyrazole, 1-ethyl-3,5-dimethyl- → 1H-Pyrazole, 3,5-dimethyl- + C2H4
516	375	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A90B5BDCBDA9F643AC757B8827EBC1CF?id=2004SAE/REY426-444:130	 → 
533	384	http://kinetics.nist.gov/kinetics/Detail;jsessionid=740C975135B9E16343D688DBBEA26B2A?id=1987LES/DOG1:2	NO + CF2ClO → Products
564	403	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6DA113A1B0D333F771BE5BF03101893B?id=1993WAL/HUR62-68:1	FC(O)O· + FC(O)O· → FC(O)OO(O)CF
592	421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=E73F920509256EF6E874FFECB68683CE?id=1993BRI/VEY2993-2997:12	CH3C(O)CH2OO· + CH3C(O)CH2OO· → Products
593	421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=E73F920509256EF6E874FFECB68683CE?id=1993JEN/COX2983-2991:3	CH3C(O)CH2OO· + CH3C(O)CH2OO· → Products
634	456	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D9A5C0A0CB4E8C8940524B5DD2E4B391?id=1983DRE/KER293-303:1	(CF3)2C(CH3)O· → (CF3)2CO + ·CH3
645	467	http://kinetics.nist.gov/kinetics/Detail;jsessionid=528FC35B848299A353F2B649D42C8CDA?id=1982FUJ/GAU1059:24	Cyclopentyl-d9 + Cyclopentyl-d9 → Adduct
674	487	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0EF134E7700BC0A62C3794BC1908BF75?id=1982BAL/HIS1615:7	(CH3)2C(CH2OOH)CH2· → ·OH + Oxetane, 3,3-dimethyl-
731	536	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A966CE6B17500FCB74D77B0D32480328?id=1963MCN/JAC692-693:1	(CH3)2CDC(·)H2 → CH3CD=CH2 + ·CH3
742	546	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE9A69E23D357E5B99D99CE9522E6002?id=1987LEW/GLE7225:4	Cyclobutane-1,2-d2, trans- (unspecified) → Cyclobutane-1,2-d2, cis-
743	547	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D9B9FE3ED4672EC443317A442A83BDBB?id=1987LEW/GLE7225:3	Cyclobutane-1,2-d2, trans- (unspecified) → C2H4 + (Z)-CHD=CHD
749	552	http://kinetics.nist.gov/kinetics/Detail;jsessionid=014E0E87FF7A289CF0E26786062550EA?id=1961HEL1711-1713:2	(CH3)2CD· + (CH3)2CD· → (CH3)2CDCD(CH3)2
750	553	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F4665408ED65977C112BA36BE256D81F?id=1958HEL/GOR709:1	(CH3)2CD· + (CH3)2CD· → Adduct
751	554	http://kinetics.nist.gov/kinetics/Detail;jsessionid=AC3F073EE1D7EC2D233760395E9A138E?id=1980SZI/SZI113:3	(CH3)2CD· → CH3CD=CH2 + H·
764	562	http://kinetics.nist.gov/kinetics/Detail;jsessionid=384AB96DE2E55811A9072AD653E7C1FC?id=1992WAL/DAG667-710:42	CH2ClO2 + CH2ClO2 → Products
782	573	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D901A1FA0AD7BFDE0DD06F2BE422F46A?id=1997ATK/BAU521-1011:452	CH3OCH2O2 + CH3OCH2O2 → Products
783	573	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D901A1FA0AD7BFDE0DD06F2BE422F46A?id=1993JEN/HAY11712-11723:6	CH3OCH2O2 + CH3OCH2O2 → Products
795	579	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A341D338948B0F712D9BF33ECCB46923?id=1980HOP/PRI1210:12	CH3C≡CD → CH2DC≡CH
797	580	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5270A3CF6884E561E801CACE48829D86?id=1980HOP/PRI1210:10	CH3C≡CD → CH2DC≡CH
823	601	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D828BFCFA115BBF40207282F4D878349?id=1960BOD/STE1576-1589:4	·C2D5 + ·C2D5 → n-C4D10
856	632	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A4C9360CB5D3A7350966632E1A5A543B?id=1982FUJ/GAU1059:22	Cyclohexyl-d11 + Cyclopentyl-d9 → Adduct
857	632	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A4C9360CB5D3A7350966632E1A5A543B?id=1982FUJ/GAU1059:23	Cyclohexyl-d11 + Cyclopentyl-d9 → Adduct
858	633	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B711BA3AFA9F0711E1B4075F4037D4AD?id=1982FUJ/GAU1059:20	Cyclohexyl-d11 + Cyclopentyl-d9 → Adduct
859	633	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B711BA3AFA9F0711E1B4075F4037D4AD?id=1982FUJ/GAU1059:21	Cyclohexyl-d11 + Cyclopentyl-d9 → Adduct
860	634	http://kinetics.nist.gov/kinetics/Detail;jsessionid=40373B4B2129F79C6C38A8E9D554E257?id=1982FUJ/GAU1059:19	Cyclohexyl-d11 + Cyclohexyl-d11 → Adduct
861	634	http://kinetics.nist.gov/kinetics/Detail;jsessionid=40373B4B2129F79C6C38A8E9D554E257?id=1979FUJ/GAU345:2	Cyclohexyl-d11 + Cyclohexyl-d11 → Adduct
903	644	http://kinetics.nist.gov/kinetics/Detail;jsessionid=3B3E1C5A2F365AFA7439BBAC2A7EF734?id=1980OLB19:6	CCl3O2 + CCl3O2 → O2 + CCl3O + CCl3O
911	647	http://kinetics.nist.gov/kinetics/Detail;jsessionid=837E0449E9C474970A5A517E816EA027?id=1980OLB19:3	·CCl3 + O2 → CCl3O2
915	650	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6D910C134288D9B0B5808C73E812CD3B?id=2001WAL/DAT2015-2022:9	 → 
933	666	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB33D38306B6A24ECB711858873B9E07?id=1996BOY/LES6594-6603:6	HOC(CH3)2CH2OO(·) + HOC(CH3)2CH2OO(·) → Products
946	679	http://kinetics.nist.gov/kinetics/Detail;jsessionid=3157DF0979B6F91D6140E10C78F8C601?id=1987LEW/GLE7225:2	Cyclobutane-1,2-d2, cis- → Cyclobutane-1,2-d2, trans- (unspecified)
947	680	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ABD6873586DA907C3DB5A348A929CB8F?id=1987LEW/GLE7225:1	Cyclobutane-1,2-d2, cis- → C2H4 + (E)-CHD=CHD
991	719	http://kinetics.nist.gov/kinetics/Detail;jsessionid=C22B1AF192AF7B0A9AD6B1FB2610C0AD?id=1967DIJ/KER105:12	NF2 + F2NCH2CH2 → F2NCH2CH2NF2
994	720	http://kinetics.nist.gov/kinetics/Detail;jsessionid=739161CC69D25D7278A2C94E22D4BCB7?id=1967DIJ/KER105:11	NF2 + CH3CHCH2NF2 → Propane, 1,2-(difluoroamino)-
996	722	http://kinetics.nist.gov/kinetics/Detail;jsessionid=3A315B362ECD45F3F9F96284D4C7A285?id=1976HAV/HUN779:2	iso-C4H8 → Products
1040	751	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B457D8A78EABAAFA0C7D6E81BB3141D?id=1967CHR/VOI2459:2	NO + NO + CH3C(O)NO → CH3CO + N2 + NO3
1053	762	http://kinetics.nist.gov/kinetics/Detail;jsessionid=67E513D2C7B45EA15FFA1517E90EFDFA?id=2002HEI/BEN126-138:12	O2 + CH3(CH2)2CH(CH3)O → n-C3H7C(O)CH3 + HO2
1059	765	http://kinetics.nist.gov/kinetics/Detail;jsessionid=384B38C7192E6871256156D7E300F2D3?id=2002HEI/BEN126-138:5	O2 + n-C5H11O· → n-C3H7C(O)CH3 + HO2
1068	771	http://kinetics.nist.gov/kinetics/Detail;jsessionid=61D4D823650657775E90E80C270275AA?id=1993STI/CHI13653-13661:3	HSO2 → Products
1071	773	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FDC1AACA4782EDF767109A093038C8C1?id=1976GOR/TAR1400:2	CH3CD2 → CH2=CD2 + H·
1073	774	http://kinetics.nist.gov/kinetics/Detail;jsessionid=8DB169F0AEA7AB8D2CE6369FEAD31A68?id=1988PER/RIC621:5	H2S + CH2CH=CHCH2CH3 → 1-C5H10 + SH
1074	774	http://kinetics.nist.gov/kinetics/Detail;jsessionid=8DB169F0AEA7AB8D2CE6369FEAD31A68?id=1988PER/RIC621:7	H2S + CH2CH=CHCH2CH3 → 2-(Z)-C5H10 + SH
1078	776	http://kinetics.nist.gov/kinetics/Detail;jsessionid=9F6ED577852EDBFBA0C6CD62F9F623F1?id=1992BAU/COB411-429:235	·CH2 + ·CH2 → Products
1096	786	http://kinetics.nist.gov/kinetics/Detail;jsessionid=62E241EF3171EB516462EE1C875C38F8?id=1979TAY1730:4	CH3C(O)OCH(CH3)CH2C(CH3)3 → CH3C(O)OH + CH3CH=CHC(CH3)3
1130	816	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5C4A49A8B07D596293D32A818A4AC7FD?id=1975AMI/TAY1802-1803:19	Benzoic acid 1,1-dimethylethyl ester → Benzoic acid + iso-C4H8
1132	817	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CC32D3CE83F6B3B47B1AAC761025EFA8?id=1975AMI/TAY1802-1803:17	Benzoic acid 1,1-dimethylethyl ester → Benzoic acid + iso-C4H8
1134	818	http://kinetics.nist.gov/kinetics/Detail;jsessionid=035A2653C577A07F0D8A4BA9D32C940D?id=1975AMI/TAY1802-1803:15	Benzoic acid 1,1-dimethylethyl ester → Benzoic acid + iso-C4H8
1148	820	http://kinetics.nist.gov/kinetics/Detail;jsessionid=966430C9A450FF7A80E7BDC09719C116?id=1963SMI/JON403-405:24	Ethyl benzoate → Benzoic acid + C2H4
1176	846	http://kinetics.nist.gov/kinetics/Detail;jsessionid=E0B94C5A2B2E2242B6F348BBAE786F0F?id=1989BEC/BER1837-1850:4	(CH3)3SiSi(CH3)2SiH(CH3)2 → (CH3)3SiSiH(CH3)2 + (CH3)2Si
1188	853	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5EF12C464F36807501AEA8BC52282EB2?id=2013OUY/MCL17070-17075:2	NO2 + CH2OO → CH2O + NO3
1192	855	http://kinetics.nist.gov/kinetics/Detail;jsessionid=30FD6CAD58E78AD607259DDC99D4F7B9?id=1985BAL/HEI297:1	O2 + CH3SOO → Adduct
1196	858	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0C6633B6D1C716F242727A277D7CC0B0?id=1979FOR/BER219:7	1-C3H7 + C2H5CHCHO → n-C3H7CH(C2H5)CHO
1249	905	http://kinetics.nist.gov/kinetics/Detail;jsessionid=E49CF2CE7F344E097EEE86EE05F30052?id=1975KNO/WIL673:2	2,5-Hexanedione + CH2CH2C(O)CH3 → Other Products + C2H5COCH3
1273	927	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4F17167EC313921C58E1F800C1290753?id=2002HEI/BEN126-138:1	CH3(CH2)3CH2OO + CH3(CH2)3CH2OO → Products
1301	939	http://kinetics.nist.gov/kinetics/Detail;jsessionid=851FDF5F5BFA2B34D29422AF89B02098?id=2004LEC/VIL795-805:12	Cl2 + (CH3)2CCHO → (CH3)2CHC(O)Cl
1302	940	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A3DF5A012DAEC344FBDCB6703D182EE1?id=1979BAL/CLE1433:5	O2 + (CH3)2CCHO → Other Products + (CH3)2CO
1303	941	http://kinetics.nist.gov/kinetics/Detail;jsessionid=AE2E1F609DA587FF5785A77441EA8629?id=1969SCO/JEN1521-1525:3	CH3C(·)HF + CH3C(·)HF → CH3CHFCHFCH3
1304	942	http://kinetics.nist.gov/kinetics/Detail;jsessionid=8A85E17042B43F9A7181F268954014EB?id=1963SMI/JON403-405:23	Ethyl benzoate → Benzoic acid + C2H4
1330	966	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2BE3A3EF4460D43269AB20A18FCF09F8?id=1992KOR/SER2445-2450:7	CH2C(CH3)=C(CH3)2 + CH2C(CH3)=C(CH3)2 → CH2=C(CH3)C(CH3)2C(CH3)2C(CH3)=CH2
1331	967	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1A8C36024350DD2733EF5DCB6EC48C2F?id=1992KOR/SER2445-2450:6	CH2C(CH3)=C(CH3)2 + CH2C(CH3)=C(CH3)2 → CH2=C(CH3)C(CH3)2C(CH3)2C(CH3)=CH2
1333	968	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A907E31C95CDC8598A500F2EE6F1A424?id=2004LEC/VIL795-805:9	Cl2 + (CH3)3CC(O)· → (CH3)3CC(O)Cl
1407	1002	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1FAA99958519754BAA112D7677CCD59D?id=2002HEI/BEN126-138:3	(C2H5)2CHO2 + (C2H5)2CHO2 → Products
1413	1008	http://kinetics.nist.gov/kinetics/Detail;jsessionid=466ACF6EC974481AEE82C05CB1ECCF7D?id=2002HEI/BEN126-138:2	n-C3H7CH(CH3)O2 + n-C3H7CH(CH3)O2 → Products
1458	1037	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6D57CE5C3C79661B660AB28767132287?id=1973JEN/VAN2968:5	(CH3SiHCl)2 → Silane, dichloromethyl- + (CH3)SiH
1483	1055	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FF167D89178AFA0B622DE7B8772EE9D4?id=1997BOY/LES323-331:3	HOCH2CH2O2· + HOCH2CH2O2· → HOCH2CH2OH + HOCH2CHO + O2
1484	1055	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FF167D89178AFA0B622DE7B8772EE9D4?id=1993BAR/BEC295-301:2	HOCH2CH2O2· + HOCH2CH2O2· → Products
1485	1055	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FF167D89178AFA0B622DE7B8772EE9D4?id=1992WAL/DAG667-710:39	HOCH2CH2O2· + HOCH2CH2O2· → Products
1489	1056	http://kinetics.nist.gov/kinetics/Detail;jsessionid=C0EEE5F711C750096EC1032A3A364B35?id=1993BAR/BEC295-301:1	HOCH2CH2O2· + HOCH2CH2O2· → O2 + HOCH2CH2O + HOCH2CH2O
1490	1056	http://kinetics.nist.gov/kinetics/Detail;jsessionid=C0EEE5F711C750096EC1032A3A364B35?id=1991ANA/MUI5791-5797:2	HOCH2CH2O2· + HOCH2CH2O2· → Products
1553	1106	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B6E89841C3E63EFD5AE42A3747952E35?id=1982ROT/SCH1197:2	1,3-Butadiene + 1,4-Cyclohexadienyl, 2,3-bis(methylene)- → Products
1589	1125	http://kinetics.nist.gov/kinetics/Detail;jsessionid=AA246E9D6BEB1875F48EEBB2B24CB099?id=1972TIN/KOO3:35	Acetic acid, trifluoro-, 2-chlorocyclohexyl ester, trans- → CF3COOH + Cyclohexene, 3-chloro-
1663	1189	http://kinetics.nist.gov/kinetics/Detail;jsessionid=38FD40C202EE4AECC3F965E086C86936?id=1970CAD/DOD2371:9	NF2 + (CH3)2CHC=O → Adduct
1671	1191	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CDBAB73D081DD45692C16CCCBE5F778A?id=1970CAD/DOD2371:7	NF2 + CH3CH2CH2CO → Adduct
1680	1197	http://kinetics.nist.gov/kinetics/Detail;jsessionid=56BEDD24B77B1CFDEA29106047310CBF?id=1972WAA/RAB1695-1699:1	Cyclopropane-1,2-d2, trans- → CH3CH=CD2
1681	1197	http://kinetics.nist.gov/kinetics/Detail;jsessionid=56BEDD24B77B1CFDEA29106047310CBF?id=1972WAA/RAB1695-1699:2	Cyclopropane-1,2-d2, trans- → CH3CH=CD2
1706	1217	http://kinetics.nist.gov/kinetics/Detail;jsessionid=C8EF0B8D41B86212B45F5C8872176BC5?id=1979TAY1730:3	CH3C(O)OC(CH3)2CH2CH(CH3)2 → CH3C(O)OH + (CH3)2CHCH=C(CH3)2
1743	1248	http://kinetics.nist.gov/kinetics/Detail;jsessionid=346B3E4B6E7E275C515BDCB0BCF9C10E?id=2004KAL/LEW11554-11558:1	CD3C(CH3)2OH → HDO + (CH3)2C=CD2
1744	1248	http://kinetics.nist.gov/kinetics/Detail;jsessionid=346B3E4B6E7E275C515BDCB0BCF9C10E?id=2004KAL/LEW11554-11558:2	CD3C(CH3)2OH → HDO + (CH3)2C=CD2
1780	1281	http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB940FB755DDD6FBFFFAF89226716608?id=1970FRE/LAM1583:3	Cyclobutene, 1, 2, 3-trimethyl- → (E)-CH3CH=C(CH3)C(CH3)=CH2
1782	1283	http://kinetics.nist.gov/kinetics/Detail;jsessionid=528EE2BFAA0A8DDEBD05638D04ABD7D4?id=1961BEN521:5	·CH2CH2CH2· → Cyclopropane
1814	1307	http://kinetics.nist.gov/kinetics/Detail;jsessionid=56886BCBE28AF2DB5A513A0771494B1D?id=1984BAL/KEE435:8	Oxiranyl → *CH2C(O)H
1838	1320	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4D293F46368221F383F671BBD68995D8?id=1970CAD/TRO3189:7	NF2 + iso-C4H9CO· → Adduct
1842	1321	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A198022699C97456C0A658F6FAE7005A?id=1970CAD/TRO3189:5	NF2 + n-C4H9CO· → Adduct
1866	1339	http://kinetics.nist.gov/kinetics/Detail;jsessionid=101632C25886FCFA3B671D483E199F74?id=1970ALS/CRA2745-2754:4	CH2=CHCD2N=NCD2CH=CH2 → Other Products + N2
1868	1340	http://kinetics.nist.gov/kinetics/Detail;jsessionid=8FF8B8BB1E7CEA5906DD333BFFFAE429?id=1970ALS/CRA2745-2754:3	CH2=CHCH2N=NCD2=CHCH2 → Other Products + N2
1869	1341	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0D932D156D474777148128B092F246AE?id=1970ALS/CRA2745-2754:1	CH2=CHCD2N=NCD2CH=CH2 → Other Products + N2
1891	1362	http://kinetics.nist.gov/kinetics/Detail;jsessionid=BF51AE210B863B1FA81AB5F3BD9DF3F7?id=1951WIJ/STE1092-1103:3	·C2H5 + ·C2H5 → n-C4H10
1892	1363	http://kinetics.nist.gov/kinetics/Detail;jsessionid=57955E8D3416011815F4ACCD85220891?id=1976GOR/TAR1400:1	·CH2CD3 → CH2=CD2 + D
1909	1371	http://kinetics.nist.gov/kinetics/Detail;jsessionid=381C3FD93463C0DCAD7D3F65C28233BD?id=1992WAL/AND649-663:5	(CH3)3CCH2OO + (CH3)3CCH2OO → Products
1932	1379	http://kinetics.nist.gov/kinetics/Detail;jsessionid=5F313CBEE8F954A5D5BF2DA036E5B7CA?id=1992WAL/DAG667-710:36	HOCH2OO + HOCH2OO → Products
1958	1390	http://kinetics.nist.gov/kinetics/Detail;jsessionid=82A5D87B5CAB202FF9834B7077BA847C?id=1994GRO/WIL381-387:2	CH3C(O)OONO2 → NO2 + CH3C(O)OO(·)
2037	1421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BB65822CF27B4BD3784C4BB26403AD8?id=1985DRE/KER167:1	CH3CH2CH(CH3)O· → C2H5CHO + ·CH3
2038	1421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BB65822CF27B4BD3784C4BB26403AD8?id=2003MEU/DOU4834-4839:3	O2 + CH3CH2CH(CH3)O· → (CH3)2CO + HO2
2039	1421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BB65822CF27B4BD3784C4BB26403AD8?id=2002LIB/SHE2579-2586:2	O2 + CH3CH2CH(CH3)O· → C2H5COCH3 + HO2
2040	1421	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BB65822CF27B4BD3784C4BB26403AD8?id=1981COX/PAT587:6	O2 + CH3CH2CH(CH3)O· → C2H5COCH3 + HO2
2054	1428	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F0927FCD08B73D5AAE0A12967E662991?id=2002HEI/BEN126-138:4	O2 + n-C5H11O· → n-C4H9CHO + HO2
2056	1429	http://kinetics.nist.gov/kinetics/Detail;jsessionid=989CAD34CDE4FE3010E6A04AAEB46020?id=2002HEI/BEN126-138:13	O2 + n-C5H11O· → n-C4H9CHO + HO2
2059	1429	http://kinetics.nist.gov/kinetics/Detail;jsessionid=989CAD34CDE4FE3010E6A04AAEB46020?id=2004JOH/CAS519-523:5	O2 + n-C5H11O· → Products
