Bonds
H-H
C-C
C=C
C#C
N-N
O-O
F-F
Cl-Cl
Br-Br
I-I
N-C
O-C
S-C
F-C
Cl-C
Br-C
I-C
Si-C
O=C
N=C
S=C
C-H
N-H
O-H
F-H
Cl-H
Br-H
I-H
O=O
N=N
N#N
S=P
P-O
S=O
Si-H
CH.
H.
C.
N.
O.
F.
Cl.
